Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	10:32 3/3/2017	134
Mike	10:16 3/3/2017	123
Mike	10:18 3/3/2017	101
Jim	10:18 3/3/2017	135
Tom	10:21 3/3/2017	140
Lana	10:21 3/3/2017	115
Tom	10:23 3/3/2017	127
Lana	10:23 3/3/2017	103
Lana	10:24 3/3/2017	130
Lana	10:24 3/3/2017	119
Tom	10:24 3/3/2017	141
Jim	10:24 3/3/2017	159
Jim	10:24 3/3/2017	143
Tim	10:25 3/3/2017	155
Mike	10:25 3/3/2017	172
Jim	10:25 3/3/2017	145
Tom	10:25 3/3/2017	136
TomH	10:25 3/3/2017	81
-1	10:42 3/3/2017	164
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkooooooooooooooooooooooooooookkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	10:44 3/3/2017	101
Mike	18:20 3/6/2017	114
Tom	18:21 3/6/2017	149
TomH	18:21 3/6/2017	122
Lana	18:21 3/6/2017	142
Tom	18:21 3/6/2017	112
NewPatron	18:23 3/6/2017	115
NewPatron	18:23 3/6/2017	144
Jim	18:29 3/6/2017	178
Jim	18:38 3/6/2017	201
Lana	18:40 3/6/2017	128
Tom	18:42 3/6/2017	139
TomH	18:43 3/6/2017	143
TomH	18:46 3/6/2017	122
Lana	19:12 3/6/2017	195
